Key,SourceString
RUBY_ID_ITEM_DAIJINAMONO_HAROWINISYOUKEN2,"Halloween Costume Tkt Ⅱ",
EXPLANATION_ID_ITEM_DAIJINAMONO_HAROWINISYOUKEN2,"Rent a Dracula\nand Pumpkin\nCostume.",
NAME_ID_ITEM_DAIJINAMONO_HIDENNOTORIMOTI,"Secret Birdlime",
RUBY_ID_ITEM_DAIJINAMONO_HIDENNOTORIMOTI,"Secret Birdlime",
EXPLANATION_ID_ITEM_DAIJINAMONO_HIDENNOTORIMOTI,"Popol family's\nsecret birdlime\nrecipe.",
NAME_ID_ITEM_DAIJINAMONO_HIKARIGOKE,"Luminous Moss",
RUBY_ID_ITEM_DAIJINAMONO_HIKARIGOKE,"Luminous Moss",
EXPLANATION_ID_ITEM_DAIJINAMONO_HIKARIGOKE,"Mysterious moss\nthat sparkles\nand shines.",
NAME_ID_ITEM_DAIJINAMONO_HIKARINOKONA,"Lightdust",
RUBY_ID_ITEM_DAIJINAMONO_HIKARINOKONA,"Lightdust",
EXPLANATION_ID_ITEM_DAIJINAMONO_HIKARINOKONA,"Beautiful dust\nthat sparkles\nand glistens.",
NAME_ID_ITEM_DAIJINAMONO_HINAIRIBOUSI,"'Hat'chlings",
RUBY_ID_ITEM_DAIJINAMONO_HINAIRIBOUSI,"Chicks in a Hat",
EXPLANATION_ID_ITEM_DAIJINAMONO_HINAIRIBOUSI,"Denny's hat\nwith bird\nchicks in it.",
NAME_ID_ITEM_DAIJINAMONO_HISENNORAKURUI,"Waterfall Tears",
RUBY_ID_ITEM_DAIJINAMONO_HISENNORAKURUI,"Waterfall Tears",
EXPLANATION_ID_ITEM_DAIJINAMONO_HISENNORAKURUI,"Clear water\ncollected from\nWald Headwaters.",
NAME_ID_ITEM_DAIJINAMONO_HITSUJINOKOROMO,"Sheep Outfit",
RUBY_ID_ITEM_DAIJINAMONO_HITSUJINOKOROMO,"Sheep Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_HITSUJINOKOROMO,"To look white\nand fluffy.\nFor Raguas only.",
NAME_ID_ITEM_DAIJINAMONO_HIYOKENOFUDA,"Fireproof Charm",
RUBY_ID_ITEM_DAIJINAMONO_HIYOKENOFUDA,"Fireproof Charm",
EXPLANATION_ID_ITEM_DAIJINAMONO_HIYOKENOFUDA,"Sacred tag that\nprotects goods\nfrom fire.",
NAME_ID_ITEM_DAIJINAMONO_HORIBUTU,"Holy Boots",
RUBY_ID_ITEM_DAIJINAMONO_HORIBUTU,"Holy Boots",
EXPLANATION_ID_ITEM_DAIJINAMONO_HORIBUTU,"Delivery\nrequested by a\nSewer.",
NAME_ID_ITEM_DAIJINAMONO_HORONOKENKYUUSEIKA,"Hollow's Research Results",
RUBY_ID_ITEM_DAIJINAMONO_HORONOKENKYUUSEIKA,"Hollow's Research Results",
EXPLANATION_ID_ITEM_DAIJINAMONO_HORONOKENKYUUSEIKA,"Secret research\nresults given\nby Sage Hollow.",
NAME_ID_ITEM_DAIJINAMONO_HOSHIDOKUKESHISOU,"Dried Antidotal Herb",
RUBY_ID_ITEM_DAIJINAMONO_HOSHIDOKUKESHISOU,"Dried Antidotal Herb",
EXPLANATION_ID_ITEM_DAIJINAMONO_HOSHIDOKUKESHISOU,"Dried antidote\nfor making a\nspecial pillow.",
NAME_ID_ITEM_DAIJINAMONO_HOSIDOKUKESISOU,"Dried Antidotal Herb",
RUBY_ID_ITEM_DAIJINAMONO_HOSIDOKUKESISOU,"Dried Antidotal Herb",
EXPLANATION_ID_ITEM_DAIJINAMONO_HOSIDOKUKESISOU,"Dried antidote\nfor making a\nspecial pillow.",
NAME_ID_ITEM_DAIJINAMONO_HUKAHUKANOMOMIGARA,"Fluffy Rice Husks",
RUBY_ID_ITEM_DAIJINAMONO_HUKAHUKANOMOMIGARA,"Fluffy Rice Husks",
EXPLANATION_ID_ITEM_DAIJINAMONO_HUKAHUKANOMOMIGARA,"Rice husks for\nmaking a\nspecial pillow.",
NAME_ID_ITEM_DAIJINAMONO_HUKAHUKANOMOMIGARA_FQ_112,"Fluffy Rice Husks",
RUBY_ID_ITEM_DAIJINAMONO_HUKAHUKANOMOMIGARA_FQ_112,"Fluffy Rice Husks",
NAME_ID_ITEM_DAIJINAMONO_HURUBITAGINNOKAGI,"Old Silver Key",
RUBY_ID_ITEM_DAIJINAMONO_HURUBITAGINNOKAGI,"Old Silver Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_HURUBITAGINNOKAGI,"Old key to the\ncastle's secret\npassageway.",
NAME_ID_ITEM_DAIJINAMONO_HURUBITAMAKIMONO,"Old Scroll",
RUBY_ID_ITEM_DAIJINAMONO_HURUBITAMAKIMONO,"Old Scroll",
EXPLANATION_ID_ITEM_DAIJINAMONO_HURUBITAMAKIMONO,"Ancient scroll\nwith secrets of\ncurse removal.",
NAME_ID_ITEM_DAIJINAMONO_HURUBITAOUKENOHON,"Old Royal Book",
RUBY_ID_ITEM_DAIJINAMONO_HURUBITAOUKENOHON,"Old Royal Book",
EXPLANATION_ID_ITEM_DAIJINAMONO_HURUBITAOUKENOHON,"Royal family\nbook written in\nancient script.",
NAME_ID_ITEM_DAIJINAMONO_HURUIMURABITOMEIBO,"Old Villager List",
RUBY_ID_ITEM_DAIJINAMONO_HURUIMURABITOMEIBO,"Old Villager List",
EXPLANATION_ID_ITEM_DAIJINAMONO_HURUIMURABITOMEIBO,"Paper with a\nlist of past\nLeen Villagers.",
NAME_ID_ITEM_DAIJINAMONO_HUSIGINAKOBAKO,"Mysterious Box",
RUBY_ID_ITEM_DAIJINAMONO_HUSIGINAKOBAKO,"Mysterious Box",
EXPLANATION_ID_ITEM_DAIJINAMONO_HUSIGINAKOBAKO,"Box that guides\nadventurers to\nother's paths.",
NAME_ID_ITEM_DAIJINAMONO_HUSYANOKAGI,"Windmill Key",
RUBY_ID_ITEM_DAIJINAMONO_HUSYANOKAGI,"Windmill Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_HUSYANOKAGI,"Key to Windmill\nTower stolen by\nThief Lagos.",
NAME_ID_ITEM_DAIJINAMONO_HUUINNOKAKATTAHON,"Sealed Book",
RUBY_ID_ITEM_DAIJINAMONO_HUUINNOKAKATTAHON,"Sealed Book",
EXPLANATION_ID_ITEM_DAIJINAMONO_HUUINNOKAKATTAHON,"Strange book\nthat is sealed\nand unreadable.",
NAME_ID_ITEM_DAIJINAMONO_HUWAHUWAURU,"High-Quality Wool",
RUBY_ID_ITEM_DAIJINAMONO_HUWAHUWAURU,"High-Quality Wool",
EXPLANATION_ID_ITEM_DAIJINAMONO_HUWAHUWAURU,"Very light, soft\nhigh-quality wool.",
NAME_ID_ITEM_DAIJINAMONO_HYAKUMAGARINONE,"Very Bent Root",
RUBY_ID_ITEM_DAIJINAMONO_HYAKUMAGARINONE,"Very Bent Root",
EXPLANATION_ID_ITEM_DAIJINAMONO_HYAKUMAGARINONE,"Crooked root\nused to make a\nspecial tea.",
NAME_ID_ITEM_DAIJINAMONO_IMOUTOKARANOTEGAMI,"Sister's Letter",
RUBY_ID_ITEM_DAIJINAMONO_IMOUTOKARANOTEGAMI,"Sister's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_IMOUTOKARANOTEGAMI,"Irreplaceable\nletter from a\nlost sister.",
NAME_ID_ITEM_DAIJINAMONO_INBEZIUMU,"Invadium",
RUBY_ID_ITEM_DAIJINAMONO_INBEZIUMU,"Invadium",
EXPLANATION_ID_ITEM_DAIJINAMONO_INBEZIUMU,"Medicine that\nawakens the\nMoon Princess.",
NAME_ID_ITEM_DAIJINAMONO_INISIENOSEKIBAN,"Ancient Tablet",
RUBY_ID_ITEM_DAIJINAMONO_INISIENOSEKIBAN,"Ancient Tablet",
EXPLANATION_ID_ITEM_DAIJINAMONO_INISIENOSEKIBAN,"Stone tablet\nwith intricate\ninscriptions.",
NAME_ID_ITEM_DAIJINAMONO_INJYANOTUBO,"Hermit's Pot",
RUBY_ID_ITEM_DAIJINAMONO_INJYANOTUBO,"Hermit's Pot",
EXPLANATION_ID_ITEM_DAIJINAMONO_INJYANOTUBO,"Mysterious pot\nof a hermit who\nlived long ago.",
NAME_ID_ITEM_DAIJINAMONO_IREIZASOU,"Eraser Grass",
RUBY_ID_ITEM_DAIJINAMONO_IREIZASOU,"Eraser Grass",
EXPLANATION_ID_ITEM_DAIJINAMONO_IREIZASOU,"Marvelous grass\nthat erases any\nkind of stain.",
NAME_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOINHU,"Yin I Completion Charm",
RUBY_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOINHU,"Yin I Completion Charm",
EXPLANATION_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOINHU,"Yin Trial Ⅰ\nproof that\nboosts spirits.",
NAME_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOYOUHU,"Yang I Completion Charm",
RUBY_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOYOUHU,"Yang I Completion Charm",
EXPLANATION_ID_ITEM_DAIJINAMONO_ITINOSIKISHUURYOUNOYOUHU,"Yang Trial Ⅰ\nproof that\nboosts spirits.",
NAME_ID_ITEM_DAIJINAMONO_JIAINOHIKARI,"Merciful Light",
RUBY_ID_ITEM_DAIJINAMONO_JIAINOHIKARI,"Merciful Light",
EXPLANATION_ID_ITEM_DAIJINAMONO_JIAINOHIKARI,"Imbued kindness\nof a certain\nOgre King.",
NAME_ID_ITEM_DAIJINAMONO_JIGOKUNONEGIBOZU,"Hellish Onion Flower",
RUBY_ID_ITEM_DAIJINAMONO_JIGOKUNONEGIBOZU,"Hellish Onion Flower",
EXPLANATION_ID_ITEM_DAIJINAMONO_JIGOKUNONEGIBOZU,"Poison flower\nused for making\nbanned medicine.",
NAME_ID_ITEM_DAIJINAMONO_JYAKINOTUNO,"Devil's Horn",
RUBY_ID_ITEM_DAIJINAMONO_JYAKINOTUNO,"Devil's Horn",
EXPLANATION_ID_ITEM_DAIJINAMONO_JYAKINOTUNO,"Demon's horn\ndyed black with\nevil power.",
NAME_ID_ITEM_DAIJINAMONO_JYOUKANOHABU,"Purifying Herbs",
RUBY_ID_ITEM_DAIJINAMONO_JYOUKANOHABU,"Purifying Herb",
EXPLANATION_ID_ITEM_DAIJINAMONO_JYOUKANOHABU,"Special medicinal\nherbs needed for the\nsages' research.",
NAME_ID_ITEM_DAIJINAMONO_JYOUKANOTANEBI,"Purifying Flame",
RUBY_ID_ITEM_DAIJINAMONO_JYOUKANOTANEBI,"Purifying Flame",
EXPLANATION_ID_ITEM_DAIJINAMONO_JYOUKANOTANEBI,"Sacred flame\nfor Divine Seat\nprayer ritual.",
NAME_ID_ITEM_DAIJINAMONO_JYUNPAKUNOSEPPEN,"Pure White Snow",
RUBY_ID_ITEM_DAIJINAMONO_JYUNPAKUNOSEPPEN,"Pure White Snow",
EXPLANATION_ID_ITEM_DAIJINAMONO_JYUNPAKUNOSEPPEN,"Prettiest snow\nfound in Rangao\nMountains.",
NAME_ID_ITEM_DAIJINAMONO_KAENHABANERO,"Flaming Habanero",
RUBY_ID_ITEM_DAIJINAMONO_KAENHABANERO,"Flame Habanero",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAENHABANERO,"A fierce habanero;\nits super spice will\nmake you spit fire.",
NAME_ID_ITEM_DAIJINAMONO_KAGARIBINOISI,"Bonfire Stone",
RUBY_ID_ITEM_DAIJINAMONO_KAGARIBINOISI,"Bonfire Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAGARIBINOISI,"Mysterious\nstone with a\nwarm glow.",
NAME_ID_ITEM_DAIJINAMONO_KAGAYAKUTENSUNOHANA,"Shining Tens Flower",
RUBY_ID_ITEM_DAIJINAMONO_KAGAYAKUTENSUNOHANA,"Shining Tens Flower",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAGAYAKUTENSUNOHANA,"Mysterious\nflower dazzling\nbrilliantly.",
NAME_ID_ITEM_DAIJINAMONO_KAGINOTYEN,"Key Chain",
RUBY_ID_ITEM_DAIJINAMONO_KAGINOTYEN,"Key Chain",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAGINOTYEN,"Sturdy chain\nworn around\nNenette's neck.",
NAME_ID_ITEM_DAIJINAMONO_KAIGANISEKINOKAGI,"Coast Ruins Key",
RUBY_ID_ITEM_DAIJINAMONO_KAIGANISEKINOKAGI,"Coast Ruins Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAIGANISEKINOKAGI,"Old key that\nopens the Coast\nRuins door.",
NAME_ID_ITEM_DAIJINAMONO_KAITORIAMI,"Shellfish Net",
RUBY_ID_ITEM_DAIJINAMONO_KAITORIAMI,"Shellfish Net",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAITORIAMI,"Net for picking\nChest Clams\nfrom the sea.",
NAME_ID_ITEM_DAIJINAMONO_KAIYUNOHA,"Recovery Leaf",
RUBY_ID_ITEM_DAIJINAMONO_KAIYUNOHA,"Recovery Leaf",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAIYUNOHA,"Fresh leaf that\nheals those who\nlove to dance.",
NAME_ID_ITEM_DAIJINAMONO_KAKETAKABIN,"Chipped Vase",
RUBY_ID_ITEM_DAIJINAMONO_KAKETAKABIN,"Chipped Vase",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKETAKABIN,"Vase found in\na basement\nwarehouse.",
RUBY_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI,"Letter From the Past",
NAME_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_ANE,"Letter From the Past",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_ANE,"Letter from\nsister left in\nan alchemy pot.",
NAME_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_ANI,"Letter From the Past",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_ANI,"Letter from\nbrother left in\nan alchemy pot.",
NAME_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_IMOUTO,"Letter From the Past",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_IMOUTO,"Letter from\nsister left in\nan alchemy pot.",
NAME_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_OTOUTO,"Letter From the Past",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKOKARANOTEGAMI_OTOUTO,"Letter from\nbrother left in\nan alchemy pot.",
NAME_ID_ITEM_DAIJINAMONO_KAKUSIKIDAKAISINSEIYOUSI,"Formal Application Form",
RUBY_ID_ITEM_DAIJINAMONO_KAKUSIKIDAKAISINSEIYOUSI,"Formal Application Form",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAKUSIKIDAKAISINSEIYOUSI,"Form for many\nprocedures at\nAlltrades Abbey.",
NAME_ID_ITEM_DAIJINAMONO_KATAMINOORUGORU,"Keepsake Music Box",
RUBY_ID_ITEM_DAIJINAMONO_KATAMINOORUGORU,"Keepsake Music Box",
EXPLANATION_ID_ITEM_DAIJINAMONO_KATAMINOORUGORU,"Handmade music\nbox left by\nBudecho's wife.",
NAME_ID_ITEM_DAIJINAMONO_KAZAOTONOYURI,"Windwhistle Lily",
RUBY_ID_ITEM_DAIJINAMONO_KAZAOTONOYURI,"Wind Lily",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAZAOTONOYURI,"A mysterious flower\nthat holds the power\nof the wind.",
NAME_ID_ITEM_DAIJINAMONO_KAZENOSINJYU,"Wind Pearl",
RUBY_ID_ITEM_DAIJINAMONO_KAZENOSINJYU,"Wind Pearl",
EXPLANATION_ID_ITEM_DAIJINAMONO_KAZENOSINJYU,"Beautiful pearl\nentrusted by\nIssho.",
NAME_ID_ITEM_DAIJINAMONO_KENJYANOAKASHI,"Proof of SGE",
RUBY_ID_ITEM_DAIJINAMONO_KENJYANOAKASHI,"Proof of SGE",
EXPLANATION_ID_ITEM_DAIJINAMONO_KENJYANOAKASHI,"A medal given to\nthose recognized\nas a Sage.",
NAME_ID_ITEM_DAIJINAMONO_KENZINBARUDORU,"Sage Baldr",
RUBY_ID_ITEM_DAIJINAMONO_KENZINBARUDORU,"Sage Baldr",
EXPLANATION_ID_ITEM_DAIJINAMONO_KENZINBARUDORU,"Small wiseman\nwho controls\ninfinite light.",
NAME_ID_ITEM_DAIJINAMONO_KENZINHUREIYA,"Sage Freya",
RUBY_ID_ITEM_DAIJINAMONO_KENZINHUREIYA,"Sage Freya",
EXPLANATION_ID_ITEM_DAIJINAMONO_KENZINHUREIYA,"Small wiseman\nwho controls\nsupreme love.",
NAME_ID_ITEM_DAIJINAMONO_KENZINTORU,"Sage Thor",
RUBY_ID_ITEM_DAIJINAMONO_KENZINTORU,"Sage Thor",
EXPLANATION_ID_ITEM_DAIJINAMONO_KENZINTORU,"Small wiseman\nwho controls\na great power.",
NAME_ID_ITEM_DAIJINAMONO_KESSYOUGA,"Crystal Fang",
RUBY_ID_ITEM_DAIJINAMONO_KESSYOUGA,"Crystal Fang",
EXPLANATION_ID_ITEM_DAIJINAMONO_KESSYOUGA,"Special fang\nthat glitters\nlike a crystal.",
NAME_ID_ITEM_DAIJINAMONO_KIBORINOSINZOU,"Wood Carved Idol",
RUBY_ID_ITEM_DAIJINAMONO_KIBORINOSINZOU,"Wood Carved Idol",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIBORINOSINZOU,"Important idol\nimbued by the\nGod Eldona.",
NAME_ID_ITEM_DAIJINAMONO_KIBOUNOHANA,"Wish Flower",
RUBY_ID_ITEM_DAIJINAMONO_KIBOUNOHANA,"Wish Flower",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIBOUNOHANA,"Odd buds that\nbloom when a\nwish comes true.",
NAME_ID_ITEM_DAIJINAMONO_KINNOKIIENBUREMU,"Gold Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_KINNOKIIENBUREMU,"Gold Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_KINNOKIIENBUREMU,"Golden emblem\nthat Dolworm\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_KINNOTAMAGO,"Golden Egg",
RUBY_ID_ITEM_DAIJINAMONO_KINNOTAMAGO,"Golden Egg",
EXPLANATION_ID_ITEM_DAIJINAMONO_KINNOTAMAGO,"A golden egg rarely\nlaid by special\nchickens.",
NAME_ID_ITEM_DAIJINAMONO_KINOKIDOUSEKI,"Yellow Starting Stone",
RUBY_ID_ITEM_DAIJINAMONO_KINOKIDOUSEKI,"Yellow Starting Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_KINOKIDOUSEKI,"Starts yellow\ncontrol table\nin Rinja Tower.",
NAME_ID_ITEM_DAIJINAMONO_KINOKIIENBUREMU,"Yellow Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_KINOKIIENBUREMU,"Yellow Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_KINOKIIENBUREMU,"Yellow emblem\nthat Gatara\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_KIOKUNOKESSYOU,"Memory Crystal",
RUBY_ID_ITEM_DAIJINAMONO_KIOKUNOKESSYOU,"Memory Crystal",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIOKUNOKESSYOU,"Mysterious\ncrystal dropped\nby Rinjara.",
NAME_ID_ITEM_DAIJINAMONO_KIRAKIRASITAHON,"Glittering Book",
RUBY_ID_ITEM_DAIJINAMONO_KIRAKIRASITAHON,"Glittering Book",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIRAKIRASITAHON,"Carefully decorated\nschoolgirl's book.",
NAME_ID_ITEM_DAIJINAMONO_KIRAMEKIINKU,"Glittering Ink",
RUBY_ID_ITEM_DAIJINAMONO_KIRAMEKIINKU,"Glittering Ink",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIRAMEKIINKU,"Magic ink that\nglitters though\nit's jet-black.",
NAME_ID_ITEM_DAIJINAMONO_KIREINAKAIGARA,"Beautiful Shell",
RUBY_ID_ITEM_DAIJINAMONO_KIREINAKAIGARA,"Beautiful Shell",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIREINAKAIGARA,"Beautiful\nshell given by\nAashik.",
NAME_ID_ITEM_DAIJINAMONO_KIREINATUTUMI,"Pretty Parcel",
RUBY_ID_ITEM_DAIJINAMONO_KIREINATUTUMI,"Pretty Parcel",
EXPLANATION_ID_ITEM_DAIJINAMONO_KIREINATUTUMI,"A packaged item from\nthe Item Shop that\nMayor Burat ordered.",
NAME_ID_ITEM_DAIJINAMONO_KOAKUMADORESU,"Lil' Devil Outfit",
RUBY_ID_ITEM_DAIJINAMONO_KOAKUMADORESU,"Lil' Devil Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOAKUMADORESU,"To look like an\neager lil devil.\nFor Maille only.",
NAME_ID_ITEM_DAIJINAMONO_KODAIHEIKINOKOA,"Ancient Weapon Core",
RUBY_ID_ITEM_DAIJINAMONO_KODAIHEIKINOKOA,"Ancient Weapon Core",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODAIHEIKINOKOA,"Power center of\na mysterious\nancient weapon.",
NAME_ID_ITEM_DAIJINAMONO_KODAIJYUUNOKAWA,"Old Beast Skin",
RUBY_ID_ITEM_DAIJINAMONO_KODAIJYUUNOKAWA,"Ancient Beast Skin",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODAIJYUUNOKAWA,"Super strong skin\nthat Bag Craftsman\nBolter wanted.",
NAME_ID_ITEM_DAIJINAMONO_KODAIMAJYUTSUNOHOUI,"Ancient Magic Outfit",
RUBY_ID_ITEM_DAIJINAMONO_KODAIMAJYUTSUNOHOUI,"Ancient Magic Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODAIMAJYUTSUNOHOUI,"To look like an\nancient caster.\nFor Fuura only.",
NAME_ID_ITEM_DAIJINAMONO_KODAIMOZIKAIDOKUZITEN,"Ancient Dictionary",
RUBY_ID_ITEM_DAIJINAMONO_KODAIMOZIKAIDOKUZITEN,"Ancient Dictionary",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODAIMOZIKAIDOKUZITEN,"Deciphers text\non the monument\nin the Pyramid.",
NAME_ID_ITEM_DAIJINAMONO_KODAINOSENZIN,"Ancient Blade",
RUBY_ID_ITEM_DAIJINAMONO_KODAINOSENZIN,"Ancient Blade",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODAINOSENZIN,"Sturdy blade\nthat has never\nbeen chipped.",
NAME_ID_ITEM_DAIJINAMONO_KODOMOMUKENOMOKKOKYOHON,"Children's Woodworking Manual",
RUBY_ID_ITEM_DAIJINAMONO_KODOMOMUKENOMOKKOKYOHON,"Children's Woodwork Manual",
EXPLANATION_ID_ITEM_DAIJINAMONO_KODOMOMUKENOMOKKOKYOHON,"Book written for\nkids about the ways\nof woodworking.",
NAME_ID_ITEM_DAIJINAMONO_KOHAKUNOHOUJYU,"Amber Jewel",
RUBY_ID_ITEM_DAIJINAMONO_KOHAKUNOHOUJYU,"Amber Jewel",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOHAKUNOHOUJYU,"Jewel of a\nbutterfly\ntrapped in sap.",
NAME_ID_ITEM_DAIJINAMONO_KOKKETYAN,"Clucky",
RUBY_ID_ITEM_DAIJINAMONO_KOKKETYAN,"Clucky",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOKKETYAN,"Chicken with a\nbeautiful voice\nin Melsandy.",
NAME_ID_ITEM_DAIJINAMONO_KOKUYOUNOHITOMI,"Obsidian Eye",
RUBY_ID_ITEM_DAIJINAMONO_KOKUYOUNOHITOMI,"Obsidian Eye",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOKUYOUNOHITOMI,"Rare gem lit by\na ray of light\nin the dark.",
NAME_ID_ITEM_DAIJINAMONO_KONEKO,"Kitten",
RUBY_ID_ITEM_DAIJINAMONO_KONEKO,"Kitten",
EXPLANATION_ID_ITEM_DAIJINAMONO_KONEKO,"Baby cat\nmonster picked\nup by Somya.",
NAME_ID_ITEM_DAIJINAMONO_KONPEKINOHISUI,"Azure Jade",
RUBY_ID_ITEM_DAIJINAMONO_KONPEKINOHISUI,"Azure Jade",
EXPLANATION_ID_ITEM_DAIJINAMONO_KONPEKINOHISUI,"Deep colored\ngem found at\nDevil's Jade.",
NAME_ID_ITEM_DAIJINAMONO_KONZIKIOIRU,"Golden Oil",
RUBY_ID_ITEM_DAIJINAMONO_KONZIKIOIRU,"Golden Oil",
EXPLANATION_ID_ITEM_DAIJINAMONO_KONZIKIOIRU,"Suntan Oil that\nglitters gold\nfor the rich.",
NAME_ID_ITEM_DAIJINAMONO_KOORIDORINOHANE,"Icebird Feather",
RUBY_ID_ITEM_DAIJINAMONO_KOORIDORINOHANE,"Icebird Feather",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOORIDORINOHANE,"Beautiful\nfeather dropped\nby Apeckalypse.",
NAME_ID_ITEM_DAIJINAMONO_KOPENOHUWAHUWAPAN,"Kope's Fluffy Bread",
RUBY_ID_ITEM_DAIJINAMONO_KOPENOHUWAHUWAPAN,"Kope's Fluffy Bread",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOPENOHUWAHUWAPAN,"Grandma Kope's\nmasterfully baked\nspecial bread.",
NAME_ID_ITEM_DAIJINAMONO_KORYUUNOHONE,"Old Dragon Bone",
RUBY_ID_ITEM_DAIJINAMONO_KORYUUNOHONE,"Old Dragon Bone",
EXPLANATION_ID_ITEM_DAIJINAMONO_KORYUUNOHONE,"Valuable bone\nof a dragon who\nlived long ago.",
NAME_ID_ITEM_DAIJINAMONO_KOSUMINNOSYASIN,"Photo of Cosmin",
RUBY_ID_ITEM_DAIJINAMONO_KOSUMINNOSYASIN,"Photo of Cosmin",
EXPLANATION_ID_ITEM_DAIJINAMONO_KOSUMINNOSYASIN,"Promide photo\nof Cosmin as\nan adult.",
NAME_ID_ITEM_DAIJINAMONO_KUDAMONONAIHU,"Fruit Knife",
RUBY_ID_ITEM_DAIJINAMONO_KUDAMONONAIHU,"Fruit Knife",
EXPLANATION_ID_ITEM_DAIJINAMONO_KUDAMONONAIHU,"Knife held in\nleft hand of\nNenette's body.",
NAME_ID_ITEM_DAIJINAMONO_KURENAIJYAMU,"Deep Red Jam",
RUBY_ID_ITEM_DAIJINAMONO_KURENAIJYAMU,"Deep Red Jam",
EXPLANATION_ID_ITEM_DAIJINAMONO_KURENAIJYAMU,"Deep red jam cooked\nup by Auntie of\nMelsandy Village.",
NAME_ID_ITEM_DAIJINAMONO_KURONOKIDOUSEKI,"Black Starting Stone",
RUBY_ID_ITEM_DAIJINAMONO_KURONOKIDOUSEKI,"Black Starting Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_KURONOKIDOUSEKI,"Starts black\ncontrol table\nin Rinja Tower.",
NAME_ID_ITEM_DAIJINAMONO_KURONOKIIENBUREMU,"Black Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_KURONOKIIENBUREMU,"Black Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_KURONOKIIENBUREMU,"Black emblem\nthat Glen\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_KUROSUISYOUNOTUME,"Black Crystal Claw",
RUBY_ID_ITEM_DAIJINAMONO_KUROSUISYOUNOTUME,"Black Crystal Claw",
EXPLANATION_ID_ITEM_DAIJINAMONO_KUROSUISYOUNOTUME,"Crystal claw\nemitting black\nlight.",
NAME_ID_ITEM_DAIJINAMONO_KUSARINOHATIGANE,"Chain Headgear",
RUBY_ID_ITEM_DAIJINAMONO_KUSARINOHATIGANE,"Brigand's Band",
